#Procedure: <__main__.IVProcedure>
#Parameters:
#	Auto Meas. Range (Y/N): Y
#	Averages: 50
#	Contact ID: unguarded_centerpixel_15mindark_negtopos
#	Data Points: 50
#	Delay Before Measure: 1.5
#	Device ID: 56AF25_10mT12nmCdSOXIDELESS_unguarded
#	Distribution (lin/log): log
#	Maximum Voltage: 1000
#	Measurement Range: 1e-06
#	Minimum Voltage: -1000
#	Enable Temperature Control? (Y/N): N
#	Setpoint Temperature: 25
#	Surface Treatment: CdS_10mTorr_12nm
#	Voltage Sweep Direction: neg-to-pos
#	Guard Ring: False
#	Probe Location: center_pixel
#Data:
Device ID,Contact ID,Temperature (C),Voltage (V),Current (A),Current Std (A)
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-1000.0,0.0001,5.45318e-11
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-681.2920690579615,0.0001,5.78435e-11
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-464.15888336127773,0.000100001,6.75385e-11
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-316.22776601683796,0.000100001,4.70024e-11
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-215.44346900318845,0.000100001,5.96163e-11
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-146.77992676220705,9.53794e-05,1.30303e-08
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-100.0,3.28727e-05,4.6603e-08
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-68.12920690579615,1.15087e-05,1.03214e-08
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-46.4158883361278,4.22491e-06,4.37523e-09
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-31.622776601683793,1.54476e-06,2.63323e-09
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-21.544346900318846,5.05908e-07,8.81377e-10
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-14.677992676220699,1.53109e-07,3.31754e-10
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-10.0,5.22096e-08,9.98404e-11
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-6.812920690579615,2.28578e-08,3.89291e-11
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-4.641588833612782,1.21816e-08,2.14335e-11
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-3.1622776601683795,7.20894e-09,1.14444e-11
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-2.1544346900318843,4.46004e-09,6.97456e-12
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-1.4677992676220706,2.84772e-09,5.72825e-12
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-1.0,1.82588e-09,3.45084e-12
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,-0.6812920690579615,1.1703e-09,2.37923e-12
